year,area,area_name,xtype,racecomp,exp
2024,1,Alabama,Total cost of childcare,Total,12.393966
2024,1,Alabama,Total cost of childcare,White,10.048855
2024,1,Alabama,Total cost of childcare,Black,21.650166
2024,1,Alabama,Total cost of childcare,Hispanic,15.80653
2024,1,Alabama,Total cost of childcare,Asian,8.8210138
2024,1,Alabama,Total cost of childcare,Other,14.000428
2024,1,Alabama,Total cost of childcare,People of Color,18.430738
2024,2,Alaska,Total cost of childcare,Total,17.966594
2024,2,Alaska,Total cost of childcare,White,13.758221
2024,2,Alaska,Total cost of childcare,Black,70.520634
2024,2,Alaska,Total cost of childcare,Hispanic,22.803292
2024,2,Alaska,Total cost of childcare,Asian,19.626742
2024,2,Alaska,Total cost of childcare,Other,21.910146
2024,2,Alaska,Total cost of childcare,People of Color,22.731738
2024,4,Arizona,Total cost of childcare,Total,15.848746
2024,4,Arizona,Total cost of childcare,White,12.853133
2024,4,Arizona,Total cost of childcare,Black,21.551644
2024,4,Arizona,Total cost of childcare,Hispanic,19.35521
2024,4,Arizona,Total cost of childcare,Asian,9.9220551
2024,4,Arizona,Total cost of childcare,Other,19.270161
2024,4,Arizona,Total cost of childcare,People of Color,18.978056
2024,5,Arkansas,Total cost of childcare,Total,13.474095
2024,5,Arkansas,Total cost of childcare,White,11.983552
2024,5,Arkansas,Total cost of childcare,Black,18.782103
2024,5,Arkansas,Total cost of childcare,Hispanic,19.498823
2024,5,Arkansas,Total cost of childcare,Asian,5.7943244
2024,5,Arkansas,Total cost of childcare,Other,14.412787
2024,5,Arkansas,Total cost of childcare,People of Color,16.546902
2024,6,California,Total cost of childcare,Total,16.953113
2024,6,California,Total cost of childcare,White,12.2923
2024,6,California,Total cost of childcare,Black,24.382739
2024,6,California,Total cost of childcare,Hispanic,22.200705
2024,6,California,Total cost of childcare,Asian,12.201496
2024,6,California,Total cost of childcare,Other,14.864239
2024,6,California,Total cost of childcare,People of Color,19.459881
2024,8,Colorado,Total cost of childcare,Total,15.713802
2024,8,Colorado,Total cost of childcare,White,13.251092
2024,8,Colorado,Total cost of childcare,Black,37.819596
2024,8,Colorado,Total cost of childcare,Hispanic,23.36287
2024,8,Colorado,Total cost of childcare,Asian,14.769401
2024,8,Colorado,Total cost of childcare,Other,14.433922
2024,8,Colorado,Total cost of childcare,People of Color,22.380408
2024,9,Connecticut,Total cost of childcare,Total,13.055817
2024,9,Connecticut,Total cost of childcare,White,10.458132
2024,9,Connecticut,Total cost of childcare,Black,22.735811
2024,9,Connecticut,Total cost of childcare,Hispanic,22.187797
2024,9,Connecticut,Total cost of childcare,Asian,9.7866929
2024,9,Connecticut,Total cost of childcare,Other,21.746757
2024,9,Connecticut,Total cost of childcare,People of Color,19.782759
2024,10,Delaware,Total cost of childcare,Total,10.357852
2024,10,Delaware,Total cost of childcare,White,8.8352059
2024,10,Delaware,Total cost of childcare,Black,12.804739
2024,10,Delaware,Total cost of childcare,Hispanic,12.273524
2024,10,Delaware,Total cost of childcare,Asian,8.1275777
2024,10,Delaware,Total cost of childcare,Other,10.967919
2024,10,Delaware,Total cost of childcare,People of Color,11.656603
2024,11,District of Columbia,Total cost of childcare,Total,24.372775
2024,11,District of Columbia,Total cost of childcare,White,11.107763
2024,11,District of Columbia,Total cost of childcare,Black,70.1868
2024,11,District of Columbia,Total cost of childcare,Hispanic,37.220103
2024,11,District of Columbia,Total cost of childcare,Asian,9.6222823
2024,11,District of Columbia,Total cost of childcare,Other,22.525542
2024,11,District of Columbia,Total cost of childcare,People of Color,49.225264
2024,12,Florida,Total cost of childcare,Total,13.117234
2024,12,Florida,Total cost of childcare,White,10.803926
2024,12,Florida,Total cost of childcare,Black,18.874047
2024,12,Florida,Total cost of childcare,Hispanic,14.52113
2024,12,Florida,Total cost of childcare,Asian,8.613821
2024,12,Florida,Total cost of childcare,Other,13.216412
2024,12,Florida,Total cost of childcare,People of Color,14.963487
2024,13,Georgia,Total cost of childcare,Total,10.020579
2024,13,Georgia,Total cost of childcare,White,8.1638887
2024,13,Georgia,Total cost of childcare,Black,13.183913
2024,13,Georgia,Total cost of childcare,Hispanic,14.393414
2024,13,Georgia,Total cost of childcare,Asian,6.5205245
2024,13,Georgia,Total cost of childcare,Other,10.10994
2024,13,Georgia,Total cost of childcare,People of Color,12.228903
2024,15,Hawaii,Total cost of childcare,Total,11.039827
2024,15,Hawaii,Total cost of childcare,White,10.116627
2024,15,Hawaii,Total cost of childcare,Black,17.381243
2024,15,Hawaii,Total cost of childcare,Hispanic,11.58514
2024,15,Hawaii,Total cost of childcare,Asian,10.208406
2024,15,Hawaii,Total cost of childcare,Other,12.226121
2024,15,Hawaii,Total cost of childcare,People of Color,11.216669
2024,16,Idaho,Total cost of childcare,Total,13.104754
2024,16,Idaho,Total cost of childcare,White,13.127822
2024,16,Idaho,Total cost of childcare,Black,15.901386
2024,16,Idaho,Total cost of childcare,Hispanic,13.757819
2024,16,Idaho,Total cost of childcare,Asian,11.121151
2024,16,Idaho,Total cost of childcare,Other,15.485426
2024,16,Idaho,Total cost of childcare,People of Color,13.942701
2024,17,Illinois,Total cost of childcare,Total,10.630468
2024,17,Illinois,Total cost of childcare,White,8.91245
2024,17,Illinois,Total cost of childcare,Black,18.126869
2024,17,Illinois,Total cost of childcare,Hispanic,13.931569
2024,17,Illinois,Total cost of childcare,Asian,7.2552116
2024,17,Illinois,Total cost of childcare,Other,11.869353
2024,17,Illinois,Total cost of childcare,People of Color,13.517013
2024,18,Indiana,Total cost of childcare,Total,16.133904
2024,18,Indiana,Total cost of childcare,White,14.398961
2024,18,Indiana,Total cost of childcare,Black,26.966866
2024,18,Indiana,Total cost of childcare,Hispanic,20.605102
2024,18,Indiana,Total cost of childcare,Asian,17.850196
2024,18,Indiana,Total cost of childcare,Other,22.433723
2024,18,Indiana,Total cost of childcare,People of Color,22.3949
2024,19,Iowa,Total cost of childcare,Total,12.568155
2024,19,Iowa,Total cost of childcare,White,11.148365
2024,19,Iowa,Total cost of childcare,Black,35.533632
2024,19,Iowa,Total cost of childcare,Hispanic,20.383108
2024,19,Iowa,Total cost of childcare,Asian,17.583124
2024,19,Iowa,Total cost of childcare,Other,23.530025
2024,19,Iowa,Total cost of childcare,People of Color,22.915476
2024,20,Kansas,Total cost of childcare,Total,10.769615
2024,20,Kansas,Total cost of childcare,White,9.861087
2024,20,Kansas,Total cost of childcare,Black,25.461984
2024,20,Kansas,Total cost of childcare,Hispanic,14.884968
2024,20,Kansas,Total cost of childcare,Asian,9.6917646
2024,20,Kansas,Total cost of childcare,Other,12.919744
2024,20,Kansas,Total cost of childcare,People of Color,14.83887
2024,21,Kentucky,Total cost of childcare,Total,14.121053
2024,21,Kentucky,Total cost of childcare,White,12.890894
2024,21,Kentucky,Total cost of childcare,Black,21.506333
2024,21,Kentucky,Total cost of childcare,Hispanic,18.739716
2024,21,Kentucky,Total cost of childcare,Asian,14.959442
2024,21,Kentucky,Total cost of childcare,Other,19.451552
2024,21,Kentucky,Total cost of childcare,People of Color,19.954713
2024,22,Louisiana,Total cost of childcare,Total,14.875933
2024,22,Louisiana,Total cost of childcare,White,10.871838
2024,22,Louisiana,Total cost of childcare,Black,27.273977
2024,22,Louisiana,Total cost of childcare,Hispanic,21.284527
2024,22,Louisiana,Total cost of childcare,Asian,12.454578
2024,22,Louisiana,Total cost of childcare,Other,16.625173
2024,22,Louisiana,Total cost of childcare,People of Color,24.303212
2024,23,Maine,Total cost of childcare,Total,14.684153
2024,23,Maine,Total cost of childcare,White,13.927843
2024,23,Maine,Total cost of childcare,Black,20.076979
2024,23,Maine,Total cost of childcare,Hispanic,19.499881
2024,23,Maine,Total cost of childcare,Asian,30.415152
2024,23,Maine,Total cost of childcare,Other,16.116692
2024,23,Maine,Total cost of childcare,People of Color,19.410222
2024,24,Maryland,Total cost of childcare,Total,15.086284
2024,24,Maryland,Total cost of childcare,White,11.720023
2024,24,Maryland,Total cost of childcare,Black,18.897868
2024,24,Maryland,Total cost of childcare,Hispanic,24.40552
2024,24,Maryland,Total cost of childcare,Asian,12.95625
2024,24,Maryland,Total cost of childcare,Other,13.480515
2024,24,Maryland,Total cost of childcare,People of Color,18.751821
2024,25,Massachusetts,Total cost of childcare,Total,16.046851
2024,25,Massachusetts,Total cost of childcare,White,12.997333
2024,25,Massachusetts,Total cost of childcare,Black,29.266575
2024,25,Massachusetts,Total cost of childcare,Hispanic,30.539687
2024,25,Massachusetts,Total cost of childcare,Asian,10.656167
2024,25,Massachusetts,Total cost of childcare,Other,23.916618
2024,25,Massachusetts,Total cost of childcare,People of Color,24.32606
2024,26,Michigan,Total cost of childcare,Total,15.129209
2024,26,Michigan,Total cost of childcare,White,13.390926
2024,26,Michigan,Total cost of childcare,Black,27.760735
2024,26,Michigan,Total cost of childcare,Hispanic,20.258895
2024,26,Michigan,Total cost of childcare,Asian,11.324505
2024,26,Michigan,Total cost of childcare,Other,17.895759
2024,26,Michigan,Total cost of childcare,People of Color,20.375373
2024,27,Minnesota,Total cost of childcare,Total,17.260419
2024,27,Minnesota,Total cost of childcare,White,15.015375
2024,27,Minnesota,Total cost of childcare,Black,41.622155
2024,27,Minnesota,Total cost of childcare,Hispanic,23.72806
2024,27,Minnesota,Total cost of childcare,Asian,18.585942
2024,27,Minnesota,Total cost of childcare,Other,19.093497
2024,27,Minnesota,Total cost of childcare,People of Color,27.412755
2024,28,Mississippi,Total cost of childcare,Total,12.546083
2024,28,Mississippi,Total cost of childcare,White,9.47825
2024,28,Mississippi,Total cost of childcare,Black,20.75473
2024,28,Mississippi,Total cost of childcare,Hispanic,14.911882
2024,28,Mississippi,Total cost of childcare,Asian,10.381195
2024,28,Mississippi,Total cost of childcare,Other,15.302745
2024,28,Mississippi,Total cost of childcare,People of Color,19.289575
2024,29,Missouri,Total cost of childcare,Total,14.975405
2024,29,Missouri,Total cost of childcare,White,13.516339
2024,29,Missouri,Total cost of childcare,Black,29.329985
2024,29,Missouri,Total cost of childcare,Hispanic,19.380236
2024,29,Missouri,Total cost of childcare,Asian,12.192529
2024,29,Missouri,Total cost of childcare,Other,17.852676
2024,29,Missouri,Total cost of childcare,People of Color,21.144398
2024,30,Montana,Total cost of childcare,Total,17.999111
2024,30,Montana,Total cost of childcare,White,17.484081
2024,30,Montana,Total cost of childcare,Black,16.854579
2024,30,Montana,Total cost of childcare,Hispanic,20.382477
2024,30,Montana,Total cost of childcare,Asian,20.780404
2024,30,Montana,Total cost of childcare,Other,24.072214
2024,30,Montana,Total cost of childcare,People of Color,21.353287
2024,31,Nebraska,Total cost of childcare,Total,17.452694
2024,31,Nebraska,Total cost of childcare,White,15.493791
2024,31,Nebraska,Total cost of childcare,Black,37.946948
2024,31,Nebraska,Total cost of childcare,Hispanic,23.357838
2024,31,Nebraska,Total cost of childcare,Asian,18.035467
2024,31,Nebraska,Total cost of childcare,Other,36.398115
2024,31,Nebraska,Total cost of childcare,People of Color,25.906971
2024,32,Nevada,Total cost of childcare,Total,19.111817
2024,32,Nevada,Total cost of childcare,White,13.941905
2024,32,Nevada,Total cost of childcare,Black,37.073852
2024,32,Nevada,Total cost of childcare,Hispanic,25.916803
2024,32,Nevada,Total cost of childcare,Asian,16.070977
2024,32,Nevada,Total cost of childcare,Other,17.653465
2024,32,Nevada,Total cost of childcare,People of Color,24.109958
2024,33,New Hampshire,Total cost of childcare,Total,14.332959
2024,33,New Hampshire,Total cost of childcare,White,13.840087
2024,33,New Hampshire,Total cost of childcare,Black,36.114659
2024,33,New Hampshire,Total cost of childcare,Hispanic,15.377003
