year,area,area_name,racecomp,scenario,model,lf
2024,1,Alabama,Total,Universal,Sliding scale,0.02668723
2024,1,Alabama,Total,Universal,Fixed (7%),0.01728349
2024,1,Alabama,Total,Partial emp.,Sliding scale,0.02416392
2024,1,Alabama,Total,Partial emp.,Fixed (7%),0.01501439
2024,1,Alabama,Total,Max emp.,Sliding scale,0.01471221
2024,1,Alabama,Total,Max emp.,Fixed (7%),0.00877787
2024,2,Alaska,Total,Universal,Sliding scale,0.03320513
2024,2,Alaska,Total,Universal,Fixed (7%),0.02402441
2024,2,Alaska,Total,Partial emp.,Sliding scale,0.03017169
2024,2,Alaska,Total,Partial emp.,Fixed (7%),0.02145428
2024,2,Alaska,Total,Max emp.,Sliding scale,0.01730767
2024,2,Alaska,Total,Max emp.,Fixed (7%),0.01178223
2024,4,Arizona,Total,Universal,Sliding scale,0.03189984
2024,4,Arizona,Total,Universal,Fixed (7%),0.0231548
2024,4,Arizona,Total,Partial emp.,Sliding scale,0.02999084
2024,4,Arizona,Total,Partial emp.,Fixed (7%),0.02147493
2024,4,Arizona,Total,Max emp.,Sliding scale,0.01800039
2024,4,Arizona,Total,Max emp.,Fixed (7%),0.01240309
2024,5,Arkansas,Total,Universal,Sliding scale,0.03051781
2024,5,Arkansas,Total,Universal,Fixed (7%),0.02075787
2024,5,Arkansas,Total,Partial emp.,Sliding scale,0.02834485
2024,5,Arkansas,Total,Partial emp.,Fixed (7%),0.01880161
2024,5,Arkansas,Total,Max emp.,Sliding scale,0.01608157
2024,5,Arkansas,Total,Max emp.,Fixed (7%),0.01008654
2024,6,California,Total,Universal,Sliding scale,0.03189517
2024,6,California,Total,Universal,Fixed (7%),0.02485442
2024,6,California,Total,Partial emp.,Sliding scale,0.02996377
2024,6,California,Total,Partial emp.,Fixed (7%),0.02307501
2024,6,California,Total,Max emp.,Sliding scale,0.0174137
2024,6,California,Total,Max emp.,Fixed (7%),0.0130284
2024,8,Colorado,Total,Universal,Sliding scale,0.03322779
2024,8,Colorado,Total,Universal,Fixed (7%),0.0254028
2024,8,Colorado,Total,Partial emp.,Sliding scale,0.03192702
2024,8,Colorado,Total,Partial emp.,Fixed (7%),0.02419625
2024,8,Colorado,Total,Max emp.,Sliding scale,0.01992642
2024,8,Colorado,Total,Max emp.,Fixed (7%),0.01446806
2024,9,Connecticut,Total,Universal,Sliding scale,0.02544348
2024,9,Connecticut,Total,Universal,Fixed (7%),0.01854757
2024,9,Connecticut,Total,Partial emp.,Sliding scale,0.02422755
2024,9,Connecticut,Total,Partial emp.,Fixed (7%),0.017428
2024,9,Connecticut,Total,Max emp.,Sliding scale,0.01620987
2024,9,Connecticut,Total,Max emp.,Fixed (7%),0.01122966
2024,10,Delaware,Total,Universal,Sliding scale,0.01785606
2024,10,Delaware,Total,Universal,Fixed (7%),0.01097407
2024,10,Delaware,Total,Partial emp.,Sliding scale,0.01680528
2024,10,Delaware,Total,Partial emp.,Fixed (7%),0.0100632
2024,10,Delaware,Total,Max emp.,Sliding scale,0.01154274
2024,10,Delaware,Total,Max emp.,Fixed (7%),0.0064388
2024,11,District of Columbia,Total,Universal,Sliding scale,0.03642345
2024,11,District of Columbia,Total,Universal,Fixed (7%),0.03259404
2024,11,District of Columbia,Total,Partial emp.,Sliding scale,0.02795842
2024,11,District of Columbia,Total,Partial emp.,Fixed (7%),0.0242659
2024,11,District of Columbia,Total,Max emp.,Sliding scale,0.02143409
2024,11,District of Columbia,Total,Max emp.,Fixed (7%),0.01851695
2024,12,Florida,Total,Universal,Sliding scale,0.0259027
2024,12,Florida,Total,Universal,Fixed (7%),0.01783982
2024,12,Florida,Total,Partial emp.,Sliding scale,0.02407037
2024,12,Florida,Total,Partial emp.,Fixed (7%),0.01617151
2024,12,Florida,Total,Max emp.,Sliding scale,0.01473045
2024,12,Florida,Total,Max emp.,Fixed (7%),0.00940577
2024,13,Georgia,Total,Universal,Sliding scale,0.01919648
2024,13,Georgia,Total,Universal,Fixed (7%),0.01157242
2024,13,Georgia,Total,Partial emp.,Sliding scale,0.01779052
2024,13,Georgia,Total,Partial emp.,Fixed (7%),0.01033524
2024,13,Georgia,Total,Max emp.,Sliding scale,0.01089101
