year,area,area_name,ptypeb,racecomp,scenario,model,pop,base,lf
2024,1,Alabama,Total,Total,Universal,Sliding scale,659960.1994,17612.50635,0.03141979
2024,1,Alabama,Total,Total,Universal,Fixed (7%),659960.1994,11406.41245,0.02057625
2024,1,Alabama,Total,Total,Partial emp.,Sliding scale,659960.1994,15947.22536,0.02853378
2024,1,Alabama,Total,Total,Partial emp.,Fixed (7%),659960.1994,9908.901463,0.01792328
2024,1,Alabama,Total,Total,Max emp.,Sliding scale,659960.1994,9709.476288,0.01756889
2024,1,Alabama,Total,Total,Max emp.,Fixed (7%),659960.1994,5793.043277,0.01055708
2024,2,Alaska,Total,Total,Universal,Sliding scale,110910.9999,3682.81433,0.03855833
2024,2,Alaska,Total,Total,Universal,Fixed (7%),110910.9999,2664.571538,0.02819814
2024,2,Alaska,Total,Total,Partial emp.,Sliding scale,110910.9999,3346.372103,0.03515969
2024,2,Alaska,Total,Total,Partial emp.,Fixed (7%),110910.9999,2379.515602,0.0252577
2024,2,Alaska,Total,Total,Max emp.,Sliding scale,110910.9999,1919.611131,0.02047594
2024,2,Alaska,Total,Total,Max emp.,Fixed (7%),110910.9999,1306.778923,0.01403075
2024,4,Arizona,Total,Total,Universal,Sliding scale,974470.7627,31085.45929,0.03717972
2024,4,Arizona,Total,Total,Universal,Fixed (7%),974470.7627,22563.67427,0.02726515
2024,4,Arizona,Total,Total,Partial emp.,Sliding scale,974470.7627,29225.2009,0.0350327
2024,4,Arizona,Total,Total,Partial emp.,Fixed (7%),974470.7627,20926.69136,0.02533719
2024,4,Arizona,Total,Total,Max emp.,Sliding scale,974470.7627,17540.85842,0.02132519
2024,4,Arizona,Total,Total,Max emp.,Fixed (7%),974470.7627,12086.44775,0.01479211
2024,5,Arkansas,Total,Total,Universal,Sliding scale,436057.4379,13307.5194,0.03583496
2024,5,Arkansas,Total,Total,Universal,Fixed (7%),436057.4379,9051.625243,0.02465712
2024,5,Arkansas,Total,Total,Partial emp.,Sliding scale,436057.4379,12359.9844,0.03336855
2024,5,Arkansas,Total,Total,Partial emp.,Fixed (7%),436057.4379,8198.582049,0.0223854
2024,5,Arkansas,Total,Total,Max emp.,Sliding scale,436057.4379,7012.486443,0.0192091
2024,5,Arkansas,Total,Total,Max emp.,Fixed (7%),436057.4379,4398.311853,0.01213506
2024,6,California,Total,Total,Universal,Sliding scale,5235843.258,166998.125,0.03690716
2024,6,California,Total,Total,Universal,Fixed (7%),5235843.258,130133.8589,0.02899627
2024,6,California,Total,Total,Partial emp.,Sliding scale,5235843.258,156885.5877,0.03474992
2024,6,California,Total,Total,Partial emp.,Fixed (7%),5235843.258,120817.113,0.02697632
2024,6,California,Total,Total,Max emp.,Sliding scale,5235843.258,91175.40244,0.02049349
2024,6,California,Total,Total,Max emp.,Fixed (7%),5235843.258,68214.64092,0.01541214
2024,8,Colorado,Total,Total,Universal,Sliding scale,816865.9031,27142.65064,0.03697267
2024,8,Colorado,Total,Total,Universal,Fixed (7%),816865.9031,20750.67951,0.02851404
2024,8,Colorado,Total,Total,Partial emp.,Sliding scale,816865.9031,26080.09238,0.03557679
2024,8,Colorado,Total,Total,Partial emp.,Fixed (7%),816865.9031,19765.09466,0.02719656
2024,8,Colorado,Total,Total,Max emp.,Sliding scale,816865.9031,16277.21226,0.02250528
2024,8,Colorado,Total,Total,Max emp.,Fixed (7%),816865.9031,11818.46333,0.01644186
2024,9,Connecticut,Total,Total,Universal,Sliding scale,491433.0001,12503.76719,0.02832465
2024,9,Connecticut,Total,Total,Universal,Fixed (7%),491433.0001,9114.88775,0.02080759
2024,9,Connecticut,Total,Total,Partial emp.,Sliding scale,491433.0001,11906.21552,0.02700758
2024,9,Connecticut,Total,Total,Partial emp.,Fixed (7%),491433.0001,8564.693076,0.01957619
2024,9,Connecticut,Total,Total,Max emp.,Sliding scale,491433.0001,7966.065378,0.01823286
2024,9,Connecticut,Total,Total,Max emp.,Fixed (7%),491433.0001,5518.624174,0.01270227
2024,10,Delaware,Total,Total,Universal,Sliding scale,131965,2356.374324,0.01967394
2024,10,Delaware,Total,Total,Universal,Fixed (7%),131965,1448.192591,0.01218369
2024,10,Delaware,Total,Total,Partial emp.,Sliding scale,131965,2217.70824,0.01853764
2024,10,Delaware,Total,Total,Partial emp.,Fixed (7%),131965,1327.989946,0.01118373
2024,10,Delaware,Total,Total,Max emp.,Sliding scale,131965,1523.237288,0.01280696
2024,10,Delaware,Total,Total,Max emp.,Fixed (7%),131965,849.6956845,0.00718469
2024,11,District of Columbia,Total,Total,Universal,Sliding scale,82659,3010.725603,0.04031409
2024,11,District of Columbia,Total,Total,Universal,Fixed (7%),82659,2694.190849,0.03622919
2024,11,District of Columbia,Total,Total,Partial emp.,Sliding scale,82659,2311.015372,0.03123753
2024,11,District of Columbia,Total,Total,Partial emp.,Fixed (7%),82659,2005.794934,0.02722424
2024,11,District of Columbia,Total,Total,Max emp.,Sliding scale,82659,1771.720191,0.02412384
2024,11,District of Columbia,Total,Total,Max emp.,Fixed (7%),82659,1530.592956,0.02090928
2024,12,Florida,Total,Total,Universal,Sliding scale,2843299.06,73649.1324,0.02979615
2024,12,Florida,Total,Total,Universal,Fixed (7%),2843299.06,50723.93959,0.02071345
2024,12,Florida,Total,Total,Partial emp.,Sliding scale,2843299.06,68439.26255,0.02774689
2024,12,Florida,Total,Total,Partial emp.,Fixed (7%),2843299.06,45980.42575,0.01881284
2024,12,Florida,Total,Total,Max emp.,Sliding scale,2843299.06,41883.06595,0.01716519
2024,12,Florida,Total,Total,Max emp.,Fixed (7%),2843299.06,26743.41424,0.01102885
2024,13,Georgia,Total,Total,Universal,Sliding scale,1525895.679,29291.82213,0.0223027
2024,13,Georgia,Total,Total,Universal,Fixed (7%),1525895.679,17658.30955,0.01356514
2024,13,Georgia,Total,Total,Partial emp.,Sliding scale,1525895.679,27146.47315,0.02070306
2024,13,Georgia,Total,Total,Partial emp.,Fixed (7%),1525895.679,15770.49996,0.01213252
2024,13,Georgia,Total,Total,Max emp.,Sliding scale,1525895.679,16618.54134,0.01277659
2024,13,Georgia,Total,Total,Max emp.,Fixed (7%),1525895.679,8990.635238,0.00695291
2024,15,Hawaii,Total,Total,Universal,Sliding scale,189775.9999,3881.817341,0.02345512
2024,15,Hawaii,Total,Total,Universal,Fixed (7%),189775.9999,2802.020689,0.01704185
2024,15,Hawaii,Total,Total,Partial emp.,Sliding scale,189775.9999,3706.390557,0.0224189
2024,15,Hawaii,Total,Total,Partial emp.,Fixed (7%),189775.9999,2663.65834,0.01621397
2024,15,Hawaii,Total,Total,Max emp.,Sliding scale,189775.9999,2106.908718,0.01286859
2024,15,Hawaii,Total,Total,Max emp.,Fixed (7%),189775.9999,1420.358692,0.00871181
2024,16,Idaho,Total,Total,Universal,Sliding scale,313697.6771,10948.13695,0.04094847
2024,16,Idaho,Total,Total,Universal,Fixed (7%),313697.6771,7437.171332,0.02818682
2024,16,Idaho,Total,Total,Partial emp.,Sliding scale,313697.6771,10397.83828,0.03897045
2024,16,Idaho,Total,Total,Partial emp.,Fixed (7%),313697.6771,6983.786894,0.02651406
2024,16,Idaho,Total,Total,Max emp.,Sliding scale,313697.6771,6158.361865,0.02345382
2024,16,Idaho,Total,Total,Max emp.,Fixed (7%),313697.6771,3992.659822,0.01533231
2024,17,Illinois,Total,Total,Universal,Sliding scale,1702470.702,33072.84358,0.02203919
2024,17,Illinois,Total,Total,Universal,Fixed (7%),1702470.702,21677.73725,0.01455622
2024,17,Illinois,Total,Total,Partial emp.,Sliding scale,1702470.702,31282.8962,0.0208713
2024,17,Illinois,Total,Total,Partial emp.,Fixed (7%),1702470.702,20129.31947,0.01353055
2024,17,Illinois,Total,Total,Max emp.,Sliding scale,1702470.702,19600.19319,0.01317957
2024,17,Illinois,Total,Total,Max emp.,Fixed (7%),1702470.702,11911.26902,0.008051
2024,18,Indiana,Total,Total,Universal,Sliding scale,967557.2624,33901.92006,0.03943771
2024,18,Indiana,Total,Total,Universal,Fixed (7%),967557.2624,24600.03697,0.02892998
2024,18,Indiana,Total,Total,Partial emp.,Sliding scale,967557.2624,31934.57617,0.03723434
2024,18,Indiana,Total,Total,Partial emp.,Fixed (7%),967557.2624,22805.90093,0.02687676
2024,18,Indiana,Total,Total,Max emp.,Sliding scale,967557.2624,20336.68833,0.02403674
2024,18,Indiana,Total,Total,Max emp.,Fixed (7%),967557.2624,13833.55642,0.01647708
2024,19,Iowa,Total,Total,Universal,Sliding scale,469875.942,10174.15067,0.02373409
2024,19,Iowa,Total,Total,Universal,Fixed (7%),469875.942,6624.02507,0.01558146
2024,19,Iowa,Total,Total,Partial emp.,Sliding scale,469875.942,9805.797861,0.02289448
2024,19,Iowa,Total,Total,Partial emp.,Fixed (7%),469875.942,6282.884624,0.01479087
2024,19,Iowa,Total,Total,Max emp.,Sliding scale,469875.942,6618.292003,0.01556818
