year,area,area_name,racecomp,scenario,model,pop,base,ss
2024,1,Alabama,Total,Universal,Sliding scale,429893.0577,43779.13103,0.19733581
2024,1,Alabama,Total,Universal,Fixed (7%),429893.0577,18973.20484,0.09628869
2024,1,Alabama,Total,Partial emp.,Sliding scale,429893.0577,41215.22914,0.18795107
2024,1,Alabama,Total,Partial emp.,Fixed (7%),429893.0577,18105.43995,0.09229124
2024,1,Alabama,Total,Max emp.,Sliding scale,429893.0577,32098.70577,0.15272699
2024,1,Alabama,Total,Max emp.,Fixed (7%),429893.0577,14799.35116,0.07673181
2024,1,Alabama,White,Universal,Sliding scale,263799.3058,28509.77525,0.18109283
2024,1,Alabama,White,Universal,Fixed (7%),263799.3058,10721.18446,0.07677554
2024,1,Alabama,White,Partial emp.,Sliding scale,263799.3058,27422.04426,0.17539546
2024,1,Alabama,White,Partial emp.,Fixed (7%),263799.3058,10428.20497,0.07483449
2024,1,Alabama,White,Max emp.,Sliding scale,263799.3058,19513.45577,0.13146084
2024,1,Alabama,White,Max emp.,Fixed (7%),263799.3058,7557.883679,0.05537725
2024,1,Alabama,Black,Universal,Sliding scale,110421.6379,10492.91659,0.27681431
2024,1,Alabama,Black,Universal,Fixed (7%),110421.6379,6033.991989,0.1804043
2024,1,Alabama,Black,Partial emp.,Sliding scale,110421.6379,9483.995694,0.25703937
2024,1,Alabama,Black,Partial emp.,Fixed (7%),110421.6379,5466.45659,0.16625721
2024,1,Alabama,Black,Max emp.,Sliding scale,110421.6379,8956.753797,0.2462689
2024,1,Alabama,Black,Max emp.,Fixed (7%),110421.6379,5295.965089,0.16191143
2024,1,Alabama,Hispanic,Universal,Sliding scale,29549.08048,2064.538203,0.17686534
2024,1,Alabama,Hispanic,Universal,Fixed (7%),29549.08048,1019.912797,0.09596187
2024,1,Alabama,Hispanic,Partial emp.,Sliding scale,29549.08048,1833.538207,0.16024717
2024,1,Alabama,Hispanic,Partial emp.,Fixed (7%),29549.08048,1019.912797,0.09596187
2024,1,Alabama,Hispanic,Max emp.,Sliding scale,29549.08048,1754.43431,0.15440112
2024,1,Alabama,Hispanic,Max emp.,Fixed (7%),29549.08048,1019.912797,0.09596187
2024,1,Alabama,Asian,Universal,Sliding scale,8875.012905,591.1714001,0.11066314
2024,1,Alabama,Asian,Universal,Fixed (7%),8875.012905,376.8213996,0.07348698
2024,1,Alabama,Asian,Partial emp.,Sliding scale,8875.012905,591.1714001,0.11066314
2024,1,Alabama,Asian,Partial emp.,Fixed (7%),8875.012905,376.8213996,0.07348698
2024,1,Alabama,Asian,Max emp.,Sliding scale,8875.012905,314.1729999,0.06202723
2024,1,Alabama,Asian,Max emp.,Fixed (7%),8875.012905,204.8213996,0.04133022
2024,1,Alabama,Other,Universal,Sliding scale,17248.02058,2120.729587,0.22327938
2024,1,Alabama,Other,Universal,Fixed (7%),17248.02058,821.2941914,0.10017416
2024,1,Alabama,Other,Partial emp.,Sliding scale,17248.02058,1884.479587,0.20346689
2024,1,Alabama,Other,Partial emp.,Fixed (7%),17248.02058,814.0441914,0.09937775
2024,1,Alabama,Other,Max emp.,Sliding scale,17248.02058,1559.88889,0.17453775
2024,1,Alabama,Other,Max emp.,Fixed (7%),17248.02058,720.7681918,0.08900419
