year,area,area_name,xtype,racecomp,ss
2024,1,Alabama,No young children,Total,0.55093166
2024,1,Alabama,One or more young children,Total,0.414223454
2024,1,Alabama,No young children,White,0.59668229
2024,1,Alabama,One or more young children,White,0.488712619
2024,1,Alabama,No young children,People of Color,0.460671893
2024,1,Alabama,One or more young children,People of Color,0.295915632
2024,2,Alaska,No young children,Total,0.617164141
2024,2,Alaska,One or more young children,Total,0.36902701
2024,2,Alaska,No young children,White,0.659041748
2024,2,Alaska,One or more young children,White,0.45765622
2024,2,Alaska,No young children,People of Color,0.513511987
2024,2,Alaska,One or more young children,People of Color,0.264467805
2024,4,Arizona,No young children,Total,0.58661751
2024,4,Arizona,One or more young children,Total,0.382815445
2024,4,Arizona,No young children,White,0.615648396
2024,4,Arizona,One or more young children,White,0.496672195
2024,4,Arizona,No young children,People of Color,0.530755009
2024,4,Arizona,One or more young children,People of Color,0.294809811
2024,5,Arkansas,No young children,Total,0.56922391
2024,5,Arkansas,One or more young children,Total,0.439234225
2024,5,Arkansas,No young children,White,0.597185147
2024,5,Arkansas,One or more young children,White,0.490613708
2024,5,Arkansas,No young children,People of Color,0.494812935
2024,5,Arkansas,One or more young children,People of Color,0.354285509
2024,6,California,No young children,Total,0.542615507
2024,6,California,One or more young children,Total,0.323744974
2024,6,California,No young children,White,0.599086198
2024,6,California,One or more young children,White,0.442578692
2024,6,California,No young children,People of Color,0.494124687
2024,6,California,One or more young children,People of Color,0.271448935
2024,8,Colorado,No young children,Total,0.648122579
2024,8,Colorado,One or more young children,Total,0.424610127
2024,8,Colorado,No young children,White,0.673216279
2024,8,Colorado,One or more young children,White,0.51040507
2024,8,Colorado,No young children,People of Color,0.579334421
2024,8,Colorado,One or more young children,People of Color,0.293974151
2024,9,Connecticut,No young children,Total,0.601143126
2024,9,Connecticut,One or more young children,Total,0.435446912
2024,9,Connecticut,No young children,White,0.649520472
2024,9,Connecticut,One or more young children,White,0.550739261
2024,9,Connecticut,No young children,People of Color,0.483696419
2024,9,Connecticut,One or more young children,People of Color,0.298045381
2024,10,Delaware,No young children,Total,0.557835365
2024,10,Delaware,One or more young children,Total,0.411451879
2024,10,Delaware,No young children,White,0.591897937
2024,10,Delaware,One or more young children,White,0.521343435
2024,10,Delaware,No young children,People of Color,0.484671007
2024,10,Delaware,One or more young children,People of Color,0.291981618
2024,11,District of Columbia,No young children,Total,0.668088637
2024,11,District of Columbia,One or more young children,Total,0.357371303
2024,11,District of Columbia,No young children,White,0.829566602
2024,11,District of Columbia,One or more young children,White,0.622796923
2024,11,District of Columbia,No young children,People of Color,0.548265475
2024,11,District of Columbia,One or more young children,People of Color,0.244514833
2024,12,Florida,No young children,Total,0.552807785
2024,12,Florida,One or more young children,Total,0.410999226
2024,12,Florida,No young children,White,0.602441751
2024,12,Florida,One or more young children,White,0.531148927
2024,12,Florida,No young children,People of Color,0.476318734
2024,12,Florida,One or more young children,People of Color,0.32483832
2024,13,Georgia,No young children,Total,0.548002084
2024,13,Georgia,One or more young children,Total,0.415870975
2024,13,Georgia,No young children,White,0.599553304
2024,13,Georgia,One or more young children,White,0.5128605
2024,13,Georgia,No young children,People of Color,0.485776843
2024,13,Georgia,One or more young children,People of Color,0.333588624
2024,15,Hawaii,No young children,Total,0.443802205
2024,15,Hawaii,One or more young children,Total,0.20225575
2024,15,Hawaii,No young children,White,0.481314683
2024,15,Hawaii,One or more young children,White,0.232902884
2024,15,Hawaii,No young children,People of Color,0.426466184
2024,15,Hawaii,One or more young children,People of Color,0.192522246
2024,16,Idaho,No young children,Total,0.603060623
2024,16,Idaho,One or more young children,Total,0.421944101
2024,16,Idaho,No young children,White,0.609599182
