year,area,area_name,xtype,racecomp,ss
2024,1,Alabama,No young children,Total,0.55093166
2024,1,Alabama,No young children,White,0.59668229
2024,1,Alabama,No young children,Black,0.43770144
2024,1,Alabama,No young children,Hispanic,0.486765446
2024,1,Alabama,No young children,Asian,0.644776241
2024,1,Alabama,No young children,Other,0.538929322
2024,1,Alabama,No young children,People of Color,0.460671893
2024,1,Alabama,One or more young children,Total,0.414223454
2024,1,Alabama,One or more young children,White,0.488712619
2024,1,Alabama,One or more young children,Black,0.24825804
2024,1,Alabama,One or more young children,Hispanic,0.325167479
2024,1,Alabama,One or more young children,Asian,0.5353129
2024,1,Alabama,One or more young children,Other,0.427722656
2024,1,Alabama,One or more young children,People of Color,0.295915632
2024,2,Alaska,No young children,Total,0.617164141
2024,2,Alaska,No young children,White,0.659041748
2024,2,Alaska,No young children,Black,0.37140274
2024,2,Alaska,No young children,Hispanic,0.771725654
2024,2,Alaska,No young children,Asian,0.578376652
2024,2,Alaska,No young children,Other,0.423276564
2024,2,Alaska,No young children,People of Color,0.513511987
2024,2,Alaska,One or more young children,Total,0.36902701
2024,2,Alaska,One or more young children,White,0.45765622
2024,2,Alaska,One or more young children,Black,0.470705673
2024,2,Alaska,One or more young children,Hispanic,0.241633979
2024,2,Alaska,One or more young children,Asian,0.372834085
2024,2,Alaska,One or more young children,Other,0.225595415
2024,2,Alaska,One or more young children,People of Color,0.264467805
2024,4,Arizona,No young children,Total,0.58661751
2024,4,Arizona,No young children,White,0.615648396
2024,4,Arizona,No young children,Black,0.519061373
2024,4,Arizona,No young children,Hispanic,0.518299396
2024,4,Arizona,No young children,Asian,0.626948232
2024,4,Arizona,No young children,Other,0.525092202
2024,4,Arizona,No young children,People of Color,0.530755009
2024,4,Arizona,One or more young children,Total,0.382815445
2024,4,Arizona,One or more young children,White,0.496672195
2024,4,Arizona,One or more young children,Black,0.256243178
2024,4,Arizona,One or more young children,Hispanic,0.260153052
2024,4,Arizona,One or more young children,Asian,0.569485233
2024,4,Arizona,One or more young children,Other,0.331351913
2024,4,Arizona,One or more young children,People of Color,0.294809811
2024,5,Arkansas,No young children,Total,0.56922391
2024,5,Arkansas,No young children,White,0.597185147
2024,5,Arkansas,No young children,Black,0.471955605
2024,5,Arkansas,No young children,Hispanic,0.483751459
2024,5,Arkansas,No young children,Asian,0.570854387
2024,5,Arkansas,No young children,Other,0.536210274
2024,5,Arkansas,No young children,People of Color,0.494812935
2024,5,Arkansas,One or more young children,Total,0.439234225
2024,5,Arkansas,One or more young children,White,0.490613708
2024,5,Arkansas,One or more young children,Black,0.350322189
2024,5,Arkansas,One or more young children,Hispanic,0.27199842
2024,5,Arkansas,One or more young children,Asian,0.69710855
2024,5,Arkansas,One or more young children,Other,0.385111546
2024,5,Arkansas,One or more young children,People of Color,0.354285509
2024,6,California,No young children,Total,0.542615507
2024,6,California,No young children,White,0.599086198
2024,6,California,No young children,Black,0.477698477
2024,6,California,No young children,Hispanic,0.43721094
2024,6,California,No young children,Asian,0.57351906
2024,6,California,No young children,Other,0.570634213
2024,6,California,No young children,People of Color,0.494124687
2024,6,California,One or more young children,Total,0.323744974
2024,6,California,One or more young children,White,0.442578692
2024,6,California,One or more young children,Black,0.245163127
2024,6,California,One or more young children,Hispanic,0.204905333
2024,6,California,One or more young children,Asian,0.42453246
2024,6,California,One or more young children,Other,0.376662309
2024,6,California,One or more young children,People of Color,0.271448935
2024,8,Colorado,No young children,Total,0.648122579
2024,8,Colorado,No young children,White,0.673216279
2024,8,Colorado,No young children,Black,0.588174116
2024,8,Colorado,No young children,Hispanic,0.56189132
2024,8,Colorado,No young children,Asian,0.626431398
2024,8,Colorado,No young children,Other,0.60016611
2024,8,Colorado,No young children,People of Color,0.579334421
2024,8,Colorado,One or more young children,Total,0.424610127
2024,8,Colorado,One or more young children,White,0.51040507
2024,8,Colorado,One or more young children,Black,0.209068584
2024,8,Colorado,One or more young children,Hispanic,0.251219724
2024,8,Colorado,One or more young children,Asian,0.464104923
2024,8,Colorado,One or more young children,Other,0.433838096
2024,8,Colorado,One or more young children,People of Color,0.293974151
2024,9,Connecticut,No young children,Total,0.601143126
2024,9,Connecticut,No young children,White,0.649520472
2024,9,Connecticut,No young children,Black,0.480082335
2024,9,Connecticut,No young children,Hispanic,0.410267292
2024,9,Connecticut,No young children,Asian,0.63877646
2024,9,Connecticut,No young children,Other,0.586157051
2024,9,Connecticut,No young children,People of Color,0.483696419
2024,9,Connecticut,One or more young children,Total,0.435446912
2024,9,Connecticut,One or more young children,White,0.550739261
2024,9,Connecticut,One or more young children,Black,0.259283027
2024,9,Connecticut,One or more young children,Hispanic,0.250242205
2024,9,Connecticut,One or more young children,Asian,0.547999527
2024,9,Connecticut,One or more young children,Other,0.311267441
2024,9,Connecticut,One or more young children,People of Color,0.298045381
2024,10,Delaware,No young children,Total,0.557835365
2024,10,Delaware,No young children,White,0.591897937
2024,10,Delaware,No young children,Black,0.455511975
2024,10,Delaware,No young children,Hispanic,0.427489606
2024,10,Delaware,No young children,Asian,0.67703647
2024,10,Delaware,No young children,Other,0.558755187
2024,10,Delaware,No young children,People of Color,0.484671007
2024,10,Delaware,One or more young children,Total,0.411451879
2024,10,Delaware,One or more young children,White,0.521343435
2024,10,Delaware,One or more young children,Black,0.256826607
2024,10,Delaware,One or more young children,Hispanic,0.176963156
2024,10,Delaware,One or more young children,Asian,0.495508274
2024,10,Delaware,One or more young children,Other,0.464895105
2024,10,Delaware,One or more young children,People of Color,0.291981618
2024,11,District of Columbia,No young children,Total,0.668088637
2024,11,District of Columbia,No young children,White,0.829566602
2024,11,District of Columbia,No young children,Black,0.45032083
2024,11,District of Columbia,No young children,Hispanic,0.756331389
2024,11,District of Columbia,No young children,Asian,0.728604996
2024,11,District of Columbia,No young children,Other,0.679113877
2024,11,District of Columbia,No young children,People of Color,0.548265475
2024,11,District of Columbia,One or more young children,Total,0.357371303
2024,11,District of Columbia,One or more young children,White,0.622796923
2024,11,District of Columbia,One or more young children,Black,0.162759702
2024,11,District of Columbia,One or more young children,Hispanic,0.26627794
2024,11,District of Columbia,One or more young children,Asian,0.711891461
2024,11,District of Columbia,One or more young children,Other,0.454193191
2024,11,District of Columbia,One or more young children,People of Color,0.244514833
2024,12,Florida,No young children,Total,0.552807785
2024,12,Florida,No young children,White,0.602441751
2024,12,Florida,No young children,Black,0.437367378
2024,12,Florida,No young children,Hispanic,0.46820362
2024,12,Florida,No young children,Asian,0.613262104
2024,12,Florida,No young children,Other,0.558175576
2024,12,Florida,No young children,People of Color,0.476318734
2024,12,Florida,One or more young children,Total,0.410999226
2024,12,Florida,One or more young children,White,0.531148927
2024,12,Florida,One or more young children,Black,0.267787771
2024,12,Florida,One or more young children,Hispanic,0.316009123
2024,12,Florida,One or more young children,Asian,0.556603101
2024,12,Florida,One or more young children,Other,0.409094214
2024,12,Florida,One or more young children,People of Color,0.32483832
2024,13,Georgia,No young children,Total,0.548002084
2024,13,Georgia,No young children,White,0.599553304
2024,13,Georgia,No young children,Black,0.473447644
2024,13,Georgia,No young children,Hispanic,0.472769358
2024,13,Georgia,No young children,Asian,0.552305323
2024,13,Georgia,No young children,Other,0.539189069
2024,13,Georgia,No young children,People of Color,0.485776843
2024,13,Georgia,One or more young children,Total,0.415870975
2024,13,Georgia,One or more young children,White,0.5128605
2024,13,Georgia,One or more young children,Black,0.328728052
2024,13,Georgia,One or more young children,Hispanic,0.231176258
2024,13,Georgia,One or more young children,Asian,0.518707667
2024,13,Georgia,One or more young children,Other,0.413447526
2024,13,Georgia,One or more young children,People of Color,0.333588624
2024,15,Hawaii,No young children,Total,0.443802205
2024,15,Hawaii,No young children,White,0.481314683
2024,15,Hawaii,No young children,Black,0.469308811
2024,15,Hawaii,No young children,Hispanic,0.363477883
2024,15,Hawaii,No young children,Asian,0.431901249
2024,15,Hawaii,No young children,Other,0.433187559
2024,15,Hawaii,No young children,People of Color,0.426466184
2024,15,Hawaii,One or more young children,Total,0.20225575
2024,15,Hawaii,One or more young children,White,0.232902884
2024,15,Hawaii,One or more young children,Black,0.187881098
2024,15,Hawaii,One or more young children,Hispanic,0.120412443
2024,15,Hawaii,One or more young children,Asian,0.230219688
2024,15,Hawaii,One or more young children,Other,0.169879517
2024,15,Hawaii,One or more young children,People of Color,0.192522246
2024,16,Idaho,No young children,Total,0.603060623
2024,16,Idaho,No young children,White,0.609599182
2024,16,Idaho,No young children,Black,0.744396906
2024,16,Idaho,No young children,Hispanic,0.594247496
2024,16,Idaho,No young children,Asian,0.545688915
2024,16,Idaho,No young children,Other,0.523111151
2024,16,Idaho,No young children,People of Color,0.566851612
2024,16,Idaho,One or more young children,Total,0.421944101
2024,16,Idaho,One or more young children,White,0.441825701
2024,16,Idaho,One or more young children,Black,0.095238098
2024,16,Idaho,One or more young children,Hispanic,0.337908045
2024,16,Idaho,One or more young children,Asian,0.534357054
2024,16,Idaho,One or more young children,Other,0.382333703
2024,16,Idaho,One or more young children,People of Color,0.35410437
2024,17,Illinois,No young children,Total,0.575770272
2024,17,Illinois,No young children,White,0.622920875
2024,17,Illinois,No young children,Black,0.420723458
2024,17,Illinois,No young children,Hispanic,0.466407738
2024,17,Illinois,No young children,Asian,0.596420196
2024,17,Illinois,No young children,Other,0.599439753
2024,17,Illinois,No young children,People of Color,0.482452687
2024,17,Illinois,One or more young children,Total,0.45117223
2024,17,Illinois,One or more young children,White,0.547426355
2024,17,Illinois,One or more young children,Black,0.306331495
2024,17,Illinois,One or more young children,Hispanic,0.257585757
2024,17,Illinois,One or more young children,Asian,0.547443963
2024,17,Illinois,One or more young children,Other,0.434939633
2024,17,Illinois,One or more young children,People of Color,0.332412713
2024,18,Indiana,No young children,Total,0.582412125
2024,18,Indiana,No young children,White,0.600418516
2024,18,Indiana,No young children,Black,0.469508252
2024,18,Indiana,No young children,Hispanic,0.521046012
2024,18,Indiana,No young children,Asian,0.558664628
2024,18,Indiana,No young children,Other,0.54523277
2024,18,Indiana,No young children,People of Color,0.506342791
2024,18,Indiana,One or more young children,Total,0.395388172
2024,18,Indiana,One or more young children,White,0.447279191
2024,18,Indiana,One or more young children,Black,0.226934045
2024,18,Indiana,One or more young children,Hispanic,0.271527803
2024,18,Indiana,One or more young children,Asian,0.31120429
2024,18,Indiana,One or more young children,Other,0.306009298
2024,18,Indiana,One or more young children,People of Color,0.265221042
2024,19,Iowa,No young children,Total,0.631049447
2024,19,Iowa,No young children,White,0.645005327
